session_id,mac,ip,device_id,username,auth_method,endpoint_profile,location,vlan,session_start,session_end,sgt
S00000017,fa:3d:f8:19:92:22,10.10.20.205,D000017,tking0016,MAB,CorporateLaptop,SW081/Gi1/0/48,20,2025-12-10 10:08:40+00:00,2025-12-10 13:24:29.386485257+00:00,0
S00000018,06:e7:4d:a6:d5:b0,10.8.10.143,D000018,dlewis0017,DOT1X,Workstation,SW015/Gi1/0/9,10,2025-12-10 15:50:49+00:00,2025-12-10 21:33:22.874441671+00:00,0
S00000019,22:9a:f0:55:06:19,10.8.40.86,D000019,kharris0018,MAB,CorporateLaptop,SW025/Gi1/0/43,40,2025-12-10 14:35:17+00:00,2025-12-10 20:56:24.251151741+00:00,0
S00000020,3a:b3:a2:2b:65:50,10.8.20.59,D000020,ejohnson0019,MAB,Workstation,SW050/Gi1/0/16,20,2025-12-10 14:27:06+00:00,2025-12-10 20:43:38.390681365+00:00,0
S00000021,76:97:73:1d:5a:45,10.4.10.65,D000021,kthompson0020,DOT1X,CorporateLaptop,SW063/Gi1/0/40,10,2025-12-10 10:50:43+00:00,2025-12-10 17:52:34.070251345+00:00,0
S00000022,76:02:5c:8a:1e:38,10.8.60.132,D000022,ethompson0021,DOT1X,CorporateLaptop,SW050/Gi1/0/4,60,2025-12-10 11:08:01+00:00,2025-12-10 17:25:30.202249084+00:00,0
S00000023,56:01:30:b5:16:fa,10.2.20.46,D000023,hgonzalez0022,DOT1X,Workstation,SW018/Gi1/0/27,20,2025-12-10 13:24:17+00:00,2025-12-10 17:41:57.877505866+00:00,0
S00000024,5a:90:8c:29:e4:45,10.5.10.123,D000024,rrobinson0023,DOT1X,CorporateLaptop,SW091/Gi1/0/6,10,2025-12-10 08:57:28+00:00,2025-12-10 16:49:58.740851498+00:00,0
S00000025,2e:a0:c0:af:cb:0b,10.2.40.131,D000025,nnguyen0024,DOT1X,Workstation,SW041/Gi1/0/46,40,2025-12-10 15:44:52+00:00,2025-12-10 23:28:58.048097353+00:00,0
S00000026,6a:63:d1:67:23:28,10.5.40.169,D000026,lhernandez0025,DOT1X,Workstation,SW055/Gi1/0/24,40,2025-12-10 09:44:35+00:00,2025-12-10 14:27:16.627156367+00:00,0
S00000027,6e:54:d6:ad:20:79,10.5.20.11,D000027,hwilson0026,MAB,CorporateLaptop,SW055/Gi1/0/42,20,2025-12-10 09:51:57+00:00,2025-12-10 17:41:33.910739352+00:00,0
S00000028,d6:74:6d:4e:17:aa,10.6.20.88,D000028,egonzalez0027,MAB,Workstation,SW057/Gi1/0/36,20,2025-12-10 14:16:00+00:00,2025-12-10 22:09:55.578342044+00:00,0
S00000029,ee:89:e1:8f:3c:95,10.5.10.42,D000029,dking0028,DOT1X,Workstation,SW030/Gi1/0/24,10,2025-12-10 10:13:30+00:00,2025-12-10 16:41:10.519880578+00:00,0
S00000030,ee:19:ed:5e:b9:0c,10.3.30.221,D000030,ebrown0029,DOT1X,Workstation,SW032/Gi1/0/10,30,2025-12-10 11:39:20+00:00,2025-12-10 18:30:03.036205359+00:00,0
S00000031,1a:4c:c7:19:fb:1a,10.8.30.211,D000031,qscott0030,DOT1X,Workstation,SW014/Gi1/0/23,30,2025-12-10 15:34:52+00:00,2025-12-10 18:15:57.290581796+00:00,0
S00000032,4a:39:2c:c6:5e:39,10.5.30.244,D000032,myoung0031,DOT1X,Workstation,SW076/Gi1/0/16,30,2025-12-10 09:33:46+00:00,2025-12-10 13:11:04.072992481+00:00,0
S00000033,46:c0:3c:eb:20:01,10.3.60.227,D000033,lmartin0032,DOT1X,Workstation,SW032/Gi1/0/13,60,2025-12-10 08:51:17+00:00,2025-12-10 11:35:21.475208098+00:00,0
S00000034,7e:c8:97:78:46:e1,10.1.60.228,D000034,awhite0033,DOT1X,CorporateLaptop,SW007/Gi1/0/17,60,2025-12-10 12:59:57+00:00,2025-12-10 15:55:06.590560662+00:00,0
S00000035,ba:12:67:79:e6:40,10.9.60.88,D000035,escott0034,DOT1X,CorporateLaptop,SW006/Gi1/0/12,60,2025-12-10 08:16:40+00:00,2025-12-10 14:56:27.938994305+00:00,0
S00000036,8e:52:15:1d:26:67,10.7.40.247,D000036,dwalker0035,MAB,CorporateLaptop,SW098/Gi1/0/41,40,2025-12-10 13:06:55+00:00,2025-12-10 16:20:36.580221354+00:00,0
S00000037,f6:be:33:de:25:08,10.8.60.10,D000037,alopez0036,DOT1X,CorporateLaptop,SW042/Gi1/0/44,60,2025-12-10 09:56:26+00:00,2025-12-10 14:12:30.614827973+00:00,0
S00000038,02:5b:84:ed:ee:a1,10.4.20.43,D000038,rwilliams0037,MAB,CorporateLaptop,SW063/Gi1/0/9,20,2025-12-10 10:38:02+00:00,2025-12-10 15:15:09.710645583+00:00,0
S00000039,52:11:06:25:3c:97,10.5.50.81,D000039,eclark0038,DOT1X,Workstation,SW055/Gi1/0/11,50,2025-12-10 11:07:13+00:00,2025-12-10 13:31:50.011160850+00:00,0
S00000040,4a:fb:68:8d:45:a4,10.1.40.70,D000040,agarcia0039,DOT1X,Workstation,SW087/Gi1/0/2,40,2025-12-10 09:09:10+00:00,2025-12-10 16:19:14.190274584+00:00,0
S00000041,fa:1f:5a:f7:74:f1,10.9.40.200,D000041,cbrown0040,DOT1X,CorporateLaptop,SW092/Gi1/0/21,40,2025-12-10 15:12:28+00:00,2025-12-10 22:16:55.288967062+00:00,0
S00000042,6a:4b:b9:a2:ef:9d,10.10.10.193,D000042,lflores0041,MAB,CorporateLaptop,SW081/Gi1/0/30,10,2025-12-10 12:30:37+00:00,2025-12-10 14:37:30.732474827+00:00,0
S00000043,62:e1:25:46:31:53,10.7.10.49,D000043,cjackson0042,DOT1X,Workstation,SW099/Gi1/0/13,10,2025-12-10 10:49:55+00:00,2025-12-10 16:23:06.021933822+00:00,0
S00000044,c6:77:0e:76:a8:52,10.6.60.121,D000044,pclark0043,DOT1X,CorporateLaptop,SW021/Gi1/0/26,60,2025-12-10 12:30:37+00:00,2025-12-10 18:06:04.940960622+00:00,0
S00000045,c2:83:6c:24:55:29,10.8.20.32,D000045,mrodriguez0044,DOT1X,Workstation,SW043/Gi1/0/17,20,2025-12-10 10:33:54+00:00,2025-12-10 16:18:56.289387333+00:00,0
S00000046,32:71:3f:10:c5:87,10.5.30.240,D000046,qjones0045,DOT1X,Workstation,SW030/Gi1/0/1,30,2025-12-10 11:39:20+00:00,2025-12-10 15:12:27.745345330+00:00,0
S00000047,72:31:38:28:eb:e6,10.8.50.179,D000047,mwilliams0046,DOT1X,Workstation,SW086/Gi1/0/12,50,2025-12-10 09:08:54+00:00,2025-12-10 12:09:47.413744600+00:00,0
S00000048,f6:65:a7:1f:f8:17,10.9.60.45,D000048,eanderson0047,MAB,Workstation,SW028/Gi1/0/37,60,2025-12-10 15:45:32+00:00,2025-12-10 18:16:42.633967630+00:00,0
S00000049,42:7e:46:a5:e5:d6,10.5.30.194,D000049,esmith0048,DOT1X,Workstation,SW082/Gi1/0/43,30,2025-12-10 14:13:43+00:00,2025-12-10 20:33:22.288926017+00:00,0
S00000050,1a:50:c3:df:e8:16,10.2.50.83,D000050,ctaylor0049,DOT1X,Workstation,SW023/Gi1/0/21,50,2025-12-10 10:33:50+00:00,2025-12-10 15:31:04.573987694+00:00,0
S00000051,96:b9:63:83:9b:2b,10.5.40.65,D000051,dgonzalez0050,MAB,CorporateLaptop,SW073/Gi1/0/28,40,2025-12-10 12:22:10+00:00,2025-12-10 18:02:45.886512254+00:00,0
S00000052,be:d5:96:53:c6:fd,10.5.20.165,D000052,cperez0051,MAB,CorporateLaptop,SW004/Gi1/0/27,20,2025-12-10 12:01:20+00:00,2025-12-10 17:22:05.399210399+00:00,0
S00000053,ba:d0:94:f7:56:7b,10.5.40.63,D000053,ewhite0052,DOT1X,Workstation,SW082/Gi1/0/15,40,2025-12-10 08:29:12+00:00,2025-12-10 14:26:02.723370751+00:00,0
S00000054,72:2c:95:cb:98:35,10.8.60.108,D000054,igonzalez0053,MAB,Workstation,SW086/Gi1/0/33,60,2025-12-10 13:04:58+00:00,2025-12-10 19:18:56.237040744+00:00,0
S00000055,4a:55:9b:e4:ec:1b,10.8.60.221,D000055,ijackson0054,DOT1X,CorporateLaptop,SW059/Gi1/0/20,60,2025-12-10 12:09:03+00:00,2025-12-10 15:25:14.511631534+00:00,0
S00000056,fe:a1:54:96:0e:8b,10.1.60.96,D000056,hbrown0055,MAB,CorporateLaptop,SW056/Gi1/0/3,60,2025-12-10 13:31:27+00:00,2025-12-10 19:39:07.189189515+00:00,0
S00000057,4a:d6:4b:cd:6f:3a,10.1.10.46,D000057,mgonzalez0056,DOT1X,CorporateLaptop,SW045/Gi1/0/19,10,2025-12-10 09:57:20+00:00,2025-12-10 13:36:42.192652678+00:00,0
S00000058,8e:10:57:c4:ed:8d,10.8.50.142,D000058,qflores0057,MAB,CorporateLaptop,SW062/Gi1/0/9,50,2025-12-10 14:45:45+00:00,2025-12-10 16:55:43.192987006+00:00,0
S00000059,ba:aa:8b:92:f3:ca,10.8.30.44,D000059,mflores0058,MAB,CorporateLaptop,SW059/Gi1/0/23,30,2025-12-10 13:54:52+00:00,2025-12-10 20:49:40.367414026+00:00,0
S00000060,7a:ef:46:c5:a6:77,10.7.30.203,D000060,omartin0059,DOT1X,CorporateLaptop,SW049/Gi1/0/23,30,2025-12-10 09:46:00+00:00,2025-12-10 16:16:34.982077856+00:00,0
S00000061,32:b0:09:83:e1:ed,10.4.30.187,D000061,hnguyen0060,MAB,CorporateLaptop,SW053/Gi1/0/23,30,2025-12-10 12:30:22+00:00,2025-12-10 19:01:16.667358629+00:00,0
S00000062,fa:cc:07:98:42:45,10.10.50.113,D000062,alee0061,DOT1X,Workstation,SW012/Gi1/0/9,50,2025-12-10 14:53:55+00:00,2025-12-10 19:09:10.535963634+00:00,0
S00000063,ca:30:e7:11:4e:ca,10.10.40.139,D000063,cgarcia0062,MAB,Workstation,SW046/Gi1/0/46,40,2025-12-10 08:13:52+00:00,2025-12-10 14:52:20.866656576+00:00,0
S00000064,ba:78:fa:0f:4d:9c,10.8.10.18,D000064,cwright0063,DOT1X,Workstation,SW042/Gi1/0/6,10,2025-12-10 08:48:36+00:00,2025-12-10 12:32:57.934309426+00:00,0
S00000065,8a:cd:e4:7c:c9:12,10.9.30.163,D000065,jtaylor0064,MAB,CorporateLaptop,SW092/Gi1/0/15,30,2025-12-10 14:34:58+00:00,2025-12-10 18:22:15.238873170+00:00,0
S00000066,d6:b4:10:3c:f3:40,10.5.60.197,D000066,charris0065,DOT1X,Workstation,SW030/Gi1/0/16,60,2025-12-10 08:31:08+00:00,2025-12-10 12:42:51.963793736+00:00,0
S00000067,76:8a:a6:03:f6:bc,10.7.10.226,D000067,msanchez0066,DOT1X,CorporateLaptop,SW098/Gi1/0/22,10,2025-12-10 10:54:05+00:00,2025-12-10 17:14:33.262866610+00:00,0
S00000068,76:c9:bc:9c:cb:d9,10.9.20.183,D000068,mgonzalez0067,MAB,Workstation,SW092/Gi1/0/21,20,2025-12-10 14:58:07+00:00,2025-12-10 18:27:30.157182029+00:00,0
S00000069,66:a4:24:9e:9b:4b,10.10.10.79,D000069,rrobinson0068,MAB,CorporateLaptop,SW081/Gi1/0/48,10,2025-12-10 14:09:14+00:00,2025-12-10 16:35:59.733307769+00:00,0
S00000070,5e:50:9d:77:d0:5e,10.2.50.131,D000070,plee0069,DOT1X,Workstation,SW074/Gi1/0/41,50,2025-12-10 10:36:02+00:00,2025-12-10 14:09:21.567980932+00:00,0
S00000071,46:5d:d1:7a:9d:a9,10.3.50.87,D000071,aanderson0070,MAB,CorporateLaptop,SW032/Gi1/0/3,50,2025-12-10 12:39:09+00:00,2025-12-10 17:24:28.147262162+00:00,0
S00000072,f2:6b:6b:ed:48:39,10.6.50.154,D000072,hlopez0071,DOT1X,CorporateLaptop,SW017/Gi1/0/29,50,2025-12-10 14:22:15+00:00,2025-12-10 18:17:03.251629267+00:00,0
S00000073,f6:cd:27:5f:fa:41,10.5.10.218,D000073,erobinson0072,DOT1X,Workstation,SW082/Gi1/0/25,10,2025-12-10 11:11:23+00:00,2025-12-10 17:30:29.018989307+00:00,0
S00000074,4e:4c:83:7a:a9:72,10.2.60.98,D000074,emartinez0073,MAB,CorporateLaptop,SW074/Gi1/0/45,60,2025-12-10 14:11:32+00:00,2025-12-10 16:39:23.794809192+00:00,0
S00000075,2a:81:22:60:82:34,10.8.60.201,D000075,qjones0074,DOT1X,Workstation,SW086/Gi1/0/17,60,2025-12-10 14:43:34+00:00,2025-12-10 20:39:42.395075554+00:00,0
S00000076,32:87:5b:f8:89:ce,10.1.50.35,D000076,ascott0075,MAB,CorporateLaptop,SW056/Gi1/0/22,50,2025-12-10 13:24:13+00:00,2025-12-10 17:17:11.230761210+00:00,0
S00000077,4a:a1:b7:54:d2:bc,10.9.60.181,D000077,ewilson0076,DOT1X,Workstation,SW092/Gi1/0/45,60,2025-12-10 13:27:23+00:00,2025-12-10 16:33:33.939093783+00:00,0
S00000078,ce:0e:ed:b8:72:d1,10.3.50.201,D000078,lsanchez0077,DOT1X,CorporateLaptop,SW009/Gi1/0/23,50,2025-12-10 09:38:11+00:00,2025-12-10 13:02:09.001909841+00:00,0
S00000079,56:4f:ae:2f:d6:77,10.6.10.197,D000079,plewis0078,MAB,Workstation,SW011/Gi1/0/30,10,2025-12-10 14:42:12+00:00,2025-12-10 17:53:40.883308034+00:00,0
S00000080,aa:ed:ff:7c:54:87,10.7.50.104,D000080,oking0079,DOT1X,Workstation,SW008/Gi1/0/15,50,2025-12-10 11:23:50+00:00,2025-12-10 18:33:46.372101264+00:00,0
S00000081,8e:3d:d6:85:02:ad,10.3.60.187,D000081,lsanchez0080,DOT1X,Workstation,SW032/Gi1/0/38,60,2025-12-10 12:18:07+00:00,2025-12-10 16:04:28.755520433+00:00,0
S00000082,aa:68:3f:df:1b:b6,10.8.40.246,D000082,clewis0081,DOT1X,CorporateLaptop,SW014/Gi1/0/4,40,2025-12-10 14:28:29+00:00,2025-12-10 21:21:05.751089025+00:00,0
S00000083,56:52:2a:a7:d4:d0,10.9.60.25,D000083,cking0082,DOT1X,CorporateLaptop,SW006/Gi1/0/47,60,2025-12-10 10:31:18+00:00,2025-12-10 14:15:45.077880958+00:00,0
S00000084,36:ee:cd:b6:3c:04,10.2.10.244,D000084,anguyen0083,DOT1X,Workstation,SW083/Gi1/0/9,10,2025-12-10 08:47:06+00:00,2025-12-10 10:48:26.978551614+00:00,0
S00000085,c2:f2:22:31:04:87,10.8.40.96,D000085,hjohnson0084,DOT1X,CorporateLaptop,SW015/Gi1/0/28,40,2025-12-10 08:07:38+00:00,2025-12-10 10:10:05.693795940+00:00,0
S00000086,16:47:02:a8:91:30,10.8.60.86,D000086,jrobinson0085,MAB,CorporateLaptop,SW086/Gi1/0/4,60,2025-12-10 12:02:52+00:00,2025-12-10 16:15:15.054281095+00:00,0
S00000087,ae:9a:c6:f2:ee:a2,10.4.40.35,D000087,rmiller0086,MAB,CorporateLaptop,SW066/Gi1/0/5,40,2025-12-10 12:28:03+00:00,2025-12-10 19:35:33.665083234+00:00,0
S00000088,96:12:d6:95:0b:1f,10.4.30.56,D000088,lscott0087,DOT1X,Workstation,SW063/Gi1/0/34,30,2025-12-10 09:13:44+00:00,2025-12-10 14:46:45.106190370+00:00,0
S00000089,66:a9:2d:71:35:12,10.10.20.133,D000089,jjohnson0088,MAB,Workstation,SW012/Gi1/0/38,20,2025-12-10 12:48:26+00:00,2025-12-10 18:53:03.326524786+00:00,0
S00000090,a6:43:86:14:c6:54,10.5.50.192,D000090,pmartinez0089,MAB,CorporateLaptop,SW004/Gi1/0/17,50,2025-12-10 08:49:04+00:00,2025-12-10 13:18:21.013599390+00:00,0
S00000091,ca:86:9b:9a:df:28,10.8.60.183,D000091,edavis0090,DOT1X,Workstation,SW014/Gi1/0/3,60,2025-12-10 12:57:51+00:00,2025-12-10 16:36:57.792576555+00:00,0
S00000092,7e:8f:7f:74:41:dd,10.3.30.193,D000092,eharris0091,MAB,CorporateLaptop,SW032/Gi1/0/2,30,2025-12-10 11:31:54+00:00,2025-12-10 17:23:21.440978371+00:00,0
S00000093,ea:3c:79:73:d7:fb,10.3.30.184,D000093,asmith0092,DOT1X,CorporateLaptop,SW097/Gi1/0/45,30,2025-12-10 15:56:18+00:00,2025-12-10 21:24:54.168003130+00:00,0
S00000094,f6:ef:45:8c:b0:30,10.7.30.17,D000094,rsmith0093,DOT1X,Workstation,SW040/Gi1/0/37,30,2025-12-10 10:28:34+00:00,2025-12-10 12:41:06.337024246+00:00,0
S00000095,8a:69:cb:31:a3:64,10.2.40.118,D000095,clee0094,DOT1X,CorporateLaptop,SW023/Gi1/0/19,40,2025-12-10 14:18:36+00:00,2025-12-10 19:37:42.864178620+00:00,0
S00000096,26:64:5e:5e:e9:1d,10.9.30.138,D000096,mhill0095,DOT1X,Workstation,SW028/Gi1/0/13,30,2025-12-10 14:33:58+00:00,2025-12-10 20:21:01.926183744+00:00,0
S00000097,72:c8:65:07:78:ac,10.6.50.21,D000097,mperez0096,DOT1X,CorporateLaptop,SW034/Gi1/0/34,50,2025-12-10 15:30:41+00:00,2025-12-10 19:43:18.902662647+00:00,0
S00000098,0a:5f:21:0c:92:89,10.10.60.78,D000098,amoore0097,DOT1X,CorporateLaptop,SW061/Gi1/0/43,60,2025-12-10 11:54:13+00:00,2025-12-10 15:57:19.192762228+00:00,0
S00000099,16:84:19:47:a7:32,10.2.20.78,D000099,cclark0098,DOT1X,Workstation,SW083/Gi1/0/32,20,2025-12-10 12:03:03+00:00,2025-12-10 18:46:31.316332826+00:00,0
S00000100,66:45:88:b8:e3:18,10.1.20.21,D000100,athompson0099,DOT1X,Workstation,SW007/Gi1/0/40,20,2025-12-10 13:55:42+00:00,2025-12-10 18:09:12.947737436+00:00,0
S00000101,72:8c:c3:1c:e4:51,10.7.40.117,D000101,cthomas0100,MAB,Workstation,SW080/Gi1/0/41,40,2025-12-10 12:03:34+00:00,2025-12-10 15:46:41.266200980+00:00,0
S00000102,1e:e2:d4:fe:db:10,10.5.40.113,D000102,cwhite0101,DOT1X,CorporateLaptop,SW004/Gi1/0/15,40,2025-12-10 13:17:26+00:00,2025-12-10 19:59:55.644958145+00:00,0
S00000103,02:2b:de:b3:a3:1f,10.3.30.140,D000103,lsmith0102,DOT1X,CorporateLaptop,SW032/Gi1/0/36,30,2025-12-10 11:40:16+00:00,2025-12-10 19:34:48.605276399+00:00,0
S00000104,e6:b6:9b:3d:0a:34,10.8.10.41,D000104,hmartinez0103,DOT1X,Workstation,SW062/Gi1/0/12,10,2025-12-10 15:36:37+00:00,2025-12-10 18:43:08.388530546+00:00,0
S00000105,4a:b5:51:3f:d9:78,10.6.10.243,D000105,qclark0104,DOT1X,Workstation,SW011/Gi1/0/11,10,2025-12-10 15:54:41+00:00,2025-12-10 20:10:55.088990356+00:00,0
S00000106,1a:5e:2b:eb:a6:a8,10.5.30.77,D000106,awilson0105,DOT1X,Workstation,SW027/Gi1/0/48,30,2025-12-10 10:04:48+00:00,2025-12-10 12:05:44.664860817+00:00,0
S00000107,3a:b0:61:09:81:2a,10.4.50.158,D000107,awilliams0106,DOT1X,CorporateLaptop,SW066/Gi1/0/16,50,2025-12-10 09:02:26+00:00,2025-12-10 13:57:17.845182311+00:00,0
S00000108,c6:d0:10:33:45:57,10.2.40.145,D000108,qjones0107,DOT1X,CorporateLaptop,SW072/Gi1/0/40,40,2025-12-10 14:14:46+00:00,2025-12-10 17:56:35.216855596+00:00,0
S00000109,ea:10:ff:7f:05:af,10.3.50.11,D000109,ewright0108,MAB,CorporateLaptop,SW009/Gi1/0/17,50,2025-12-10 09:32:45+00:00,2025-12-10 16:29:58.478955325+00:00,0
S00000110,ee:e8:20:bd:0f:22,10.10.10.69,D000110,swilson0109,DOT1X,Workstation,SW081/Gi1/0/45,10,2025-12-10 09:30:03+00:00,2025-12-10 16:59:43.673081932+00:00,0
S00000111,fe:18:97:f2:50:02,10.7.60.177,D000111,rsmith0110,DOT1X,Workstation,SW040/Gi1/0/14,60,2025-12-10 14:40:31+00:00,2025-12-10 17:22:20.290284983+00:00,0
S00000112,52:9d:a4:84:45:6d,10.4.50.97,D000112,crobinson0111,DOT1X,CorporateLaptop,SW063/Gi1/0/1,50,2025-12-10 14:53:53+00:00,2025-12-10 22:04:51.143478540+00:00,0
S00000113,ba:de:54:12:0f:9e,10.6.40.89,D000113,mperez0112,DOT1X,CorporateLaptop,SW021/Gi1/0/23,40,2025-12-10 08:27:30+00:00,2025-12-10 11:44:53.691635318+00:00,0
S00000114,4e:11:89:51:30:d1,10.2.50.180,D000114,ijackson0113,DOT1X,CorporateLaptop,SW100/Gi1/0/29,50,2025-12-10 14:59:17+00:00,2025-12-10 18:50:08.955206428+00:00,0
S00000115,f2:1e:e5:66:a9:4c,10.6.60.201,D000115,mscott0114,DOT1X,Workstation,SW079/Gi1/0/19,60,2025-12-10 15:55:04+00:00,2025-12-10 23:13:56.039541098+00:00,0
S00000116,f6:c2:75:13:52:d5,10.4.50.203,D000116,rgonzalez0115,DOT1X,CorporateLaptop,SW066/Gi1/0/13,50,2025-12-10 14:32:21+00:00,2025-12-10 18:43:50.306879613+00:00,0
S00000117,da:ef:ee:66:23:e6,10.2.30.115,D000117,dthompson0116,DOT1X,Workstation,SW018/Gi1/0/40,30,2025-12-10 09:48:13+00:00,2025-12-10 11:54:17.282141086+00:00,0
S00000118,fe:50:40:6d:e3:44,10.7.50.120,D000118,arobinson0117,DOT1X,Workstation,SW080/Gi1/0/18,50,2025-12-10 10:34:05+00:00,2025-12-10 12:52:44.013019892+00:00,0
S00000119,06:1a:fb:a2:55:5c,10.9.30.172,D000119,hharris0118,DOT1X,Workstation,SW038/Gi1/0/34,30,2025-12-10 13:06:37+00:00,2025-12-10 17:08:10.761213666+00:00,0
S00000120,a6:b5:ff:9b:7a:59,10.4.10.151,D000120,erodriguez0119,DOT1X,CorporateLaptop,SW066/Gi1/0/5,10,2025-12-10 09:10:25+00:00,2025-12-10 16:28:48.465156378+00:00,0
S00000121,7a:a9:34:91:52:10,10.1.60.99,D000121,cramirez0120,DOT1X,CorporateLaptop,SW069/Gi1/0/42,60,2025-12-10 14:36:50+00:00,2025-12-10 17:08:45.367671897+00:00,0
S00000122,32:8a:8c:c2:24:25,10.2.40.89,D000122,jrobinson0121,DOT1X,Workstation,SW083/Gi1/0/36,40,2025-12-10 14:44:45+00:00,2025-12-10 17:55:09.408517447+00:00,0
S00000123,6a:ae:93:86:83:15,10.8.50.242,D000123,cjones0122,DOT1X,CorporateLaptop,SW086/Gi1/0/9,50,2025-12-10 14:47:53+00:00,2025-12-10 22:36:07.528835284+00:00,0
S00000124,5a:c2:ec:1e:49:f6,10.3.50.222,D000124,tmiller0123,MAB,CorporateLaptop,SW039/Gi1/0/26,50,2025-12-10 12:42:59+00:00,2025-12-10 17:11:06.789702357+00:00,0
S00000125,9a:65:7f:55:25:89,10.3.30.82,D000125,aclark0124,DOT1X,CorporateLaptop,SW009/Gi1/0/36,30,2025-12-10 15:26:40+00:00,2025-12-10 22:40:49.163606225+00:00,0
S00000126,1a:3d:74:30:d3:e4,10.8.50.29,D000126,cjones0125,DOT1X,CorporateLaptop,SW042/Gi1/0/39,50,2025-12-10 11:35:02+00:00,2025-12-10 15:53:03.073075662+00:00,0
S00000127,4e:51:65:eb:ec:09,10.7.20.238,D000127,rscott0126,DOT1X,Workstation,SW040/Gi1/0/21,20,2025-12-10 10:53:27+00:00,2025-12-10 16:00:02.421316538+00:00,0
S00000128,5a:d4:5d:da:dd:55,10.6.50.33,D000128,mjones0127,MAB,Workstation,SW034/Gi1/0/6,50,2025-12-10 11:18:03+00:00,2025-12-10 18:58:56.831877916+00:00,0
S00000129,4e:b1:9b:46:a1:ec,10.7.50.66,D000129,jhill0128,DOT1X,CorporateLaptop,SW049/Gi1/0/3,50,2025-12-10 10:02:29+00:00,2025-12-10 17:46:46.784317540+00:00,0
S00000130,f6:9f:1c:4f:58:41,10.10.40.19,D000130,rclark0129,DOT1X,CorporateLaptop,SW061/Gi1/0/48,40,2025-12-10 08:48:38+00:00,2025-12-10 11:48:13.554467213+00:00,0
