device_id,device_type,os,mac,hostname,owner_user_id,attached_switch_id,attached_interface,vlan
D000021,laptop,Windows,76:97:73:1d:5a:45,LAP-KTHOMPSON002,U00021,SW063,Gi1/0/40,10
D000022,laptop,Windows,76:02:5c:8a:1e:38,LAP-ETHOMPSON002,U00022,SW050,Gi1/0/4,60
D000023,laptop,Windows,56:01:30:b5:16:fa,LAP-HGONZALEZ002,U00023,SW018,Gi1/0/27,20
D000024,laptop,Windows,5a:90:8c:29:e4:45,LAP-RROBINSON002,U00024,SW091,Gi1/0/6,10
D000025,laptop,Windows,2e:a0:c0:af:cb:0b,LAP-NNGUYEN0024,U00025,SW041,Gi1/0/46,40
D000026,laptop,Windows,6a:63:d1:67:23:28,LAP-LHERNANDEZ00,U00026,SW055,Gi1/0/24,40
D000027,laptop,Windows,6e:54:d6:ad:20:79,LAP-HWILSON0026,U00027,SW055,Gi1/0/42,20
D000028,laptop,Windows,d6:74:6d:4e:17:aa,LAP-EGONZALEZ002,U00028,SW057,Gi1/0/36,20
D000029,laptop,Windows,ee:89:e1:8f:3c:95,LAP-DKING0028,U00029,SW030,Gi1/0/24,10
D000030,laptop,Windows,ee:19:ed:5e:b9:0c,LAP-EBROWN0029,U00030,SW032,Gi1/0/10,30
D000031,laptop,Windows,1a:4c:c7:19:fb:1a,LAP-QSCOTT0030,U00031,SW014,Gi1/0/23,30
D000032,laptop,Windows,4a:39:2c:c6:5e:39,LAP-MYOUNG0031,U00032,SW076,Gi1/0/16,30
D000033,laptop,Windows,46:c0:3c:eb:20:01,LAP-LMARTIN0032,U00033,SW032,Gi1/0/13,60
D000034,laptop,Windows,7e:c8:97:78:46:e1,LAP-AWHITE0033,U00034,SW007,Gi1/0/17,60
D000035,laptop,Windows,ba:12:67:79:e6:40,LAP-ESCOTT0034,U00035,SW006,Gi1/0/12,60
D000036,laptop,Windows,8e:52:15:1d:26:67,LAP-DWALKER0035,U00036,SW098,Gi1/0/41,40
D000037,laptop,Windows,f6:be:33:de:25:08,LAP-ALOPEZ0036,U00037,SW042,Gi1/0/44,60
D000038,laptop,Windows,02:5b:84:ed:ee:a1,LAP-RWILLIAMS003,U00038,SW063,Gi1/0/9,20
D000039,laptop,Windows,52:11:06:25:3c:97,LAP-ECLARK0038,U00039,SW055,Gi1/0/11,50
D000040,laptop,Windows,4a:fb:68:8d:45:a4,LAP-AGARCIA0039,U00040,SW087,Gi1/0/2,40
D000041,laptop,Windows,fa:1f:5a:f7:74:f1,LAP-CBROWN0040,U00041,SW092,Gi1/0/21,40
D000042,laptop,Windows,6a:4b:b9:a2:ef:9d,LAP-LFLORES0041,U00042,SW081,Gi1/0/30,10
D000043,laptop,Windows,62:e1:25:46:31:53,LAP-CJACKSON0042,U00043,SW099,Gi1/0/13,10
D000044,laptop,Windows,c6:77:0e:76:a8:52,LAP-PCLARK0043,U00044,SW021,Gi1/0/26,60
D000045,laptop,Windows,c2:83:6c:24:55:29,LAP-MRODRIGUEZ00,U00045,SW043,Gi1/0/17,20
D000046,laptop,Windows,32:71:3f:10:c5:87,LAP-QJONES0045,U00046,SW030,Gi1/0/1,30
D000047,laptop,Windows,72:31:38:28:eb:e6,LAP-MWILLIAMS004,U00047,SW086,Gi1/0/12,50
D000048,laptop,Windows,f6:65:a7:1f:f8:17,LAP-EANDERSON004,U00048,SW028,Gi1/0/37,60
D000049,laptop,Windows,42:7e:46:a5:e5:d6,LAP-ESMITH0048,U00049,SW082,Gi1/0/43,30
D000050,laptop,Windows,1a:50:c3:df:e8:16,LAP-CTAYLOR0049,U00050,SW023,Gi1/0/21,50
D000051,laptop,Windows,96:b9:63:83:9b:2b,LAP-DGONZALEZ005,U00051,SW073,Gi1/0/28,40
D000052,laptop,Windows,be:d5:96:53:c6:fd,LAP-CPEREZ0051,U00052,SW004,Gi1/0/27,20
D000053,laptop,Windows,ba:d0:94:f7:56:7b,LAP-EWHITE0052,U00053,SW082,Gi1/0/15,40
D000054,laptop,Windows,72:2c:95:cb:98:35,LAP-IGONZALEZ005,U00054,SW086,Gi1/0/33,60
D000055,laptop,Windows,4a:55:9b:e4:ec:1b,LAP-IJACKSON0054,U00055,SW059,Gi1/0/20,60
D000056,laptop,Windows,fe:a1:54:96:0e:8b,LAP-HBROWN0055,U00056,SW056,Gi1/0/3,60
D000057,laptop,Windows,4a:d6:4b:cd:6f:3a,LAP-MGONZALEZ005,U00057,SW045,Gi1/0/19,10
D000058,laptop,Windows,8e:10:57:c4:ed:8d,LAP-QFLORES0057,U00058,SW062,Gi1/0/9,50
D000059,laptop,Windows,ba:aa:8b:92:f3:ca,LAP-MFLORES0058,U00059,SW059,Gi1/0/23,30
D000060,laptop,Windows,7a:ef:46:c5:a6:77,LAP-OMARTIN0059,U00060,SW049,Gi1/0/23,30
D000061,laptop,Windows,32:b0:09:83:e1:ed,LAP-HNGUYEN0060,U00061,SW053,Gi1/0/23,30
D000062,laptop,Windows,fa:cc:07:98:42:45,LAP-ALEE0061,U00062,SW012,Gi1/0/9,50
D000063,laptop,Windows,ca:30:e7:11:4e:ca,LAP-CGARCIA0062,U00063,SW046,Gi1/0/46,40
D000064,laptop,Windows,ba:78:fa:0f:4d:9c,LAP-CWRIGHT0063,U00064,SW042,Gi1/0/6,10
D000065,laptop,Windows,8a:cd:e4:7c:c9:12,LAP-JTAYLOR0064,U00065,SW092,Gi1/0/15,30
D000066,laptop,Windows,d6:b4:10:3c:f3:40,LAP-CHARRIS0065,U00066,SW030,Gi1/0/16,60
D000067,laptop,Windows,76:8a:a6:03:f6:bc,LAP-MSANCHEZ0066,U00067,SW098,Gi1/0/22,10
D000068,laptop,Windows,76:c9:bc:9c:cb:d9,LAP-MGONZALEZ006,U00068,SW092,Gi1/0/21,20
D000069,laptop,Windows,66:a4:24:9e:9b:4b,LAP-RROBINSON006,U00069,SW081,Gi1/0/48,10
D000070,laptop,Windows,5e:50:9d:77:d0:5e,LAP-PLEE0069,U00070,SW074,Gi1/0/41,50
D000071,laptop,Windows,46:5d:d1:7a:9d:a9,LAP-AANDERSON007,U00071,SW032,Gi1/0/3,50
D000072,laptop,Windows,f2:6b:6b:ed:48:39,LAP-HLOPEZ0071,U00072,SW017,Gi1/0/29,50
D000073,laptop,Windows,f6:cd:27:5f:fa:41,LAP-EROBINSON007,U00073,SW082,Gi1/0/25,10
D000074,laptop,Windows,4e:4c:83:7a:a9:72,LAP-EMARTINEZ007,U00074,SW074,Gi1/0/45,60
D000075,laptop,Windows,2a:81:22:60:82:34,LAP-QJONES0074,U00075,SW086,Gi1/0/17,60
D000076,laptop,Windows,32:87:5b:f8:89:ce,LAP-ASCOTT0075,U00076,SW056,Gi1/0/22,50
D000077,laptop,Windows,4a:a1:b7:54:d2:bc,LAP-EWILSON0076,U00077,SW092,Gi1/0/45,60
D000078,laptop,Windows,ce:0e:ed:b8:72:d1,LAP-LSANCHEZ0077,U00078,SW009,Gi1/0/23,50
D000079,laptop,Windows,56:4f:ae:2f:d6:77,LAP-PLEWIS0078,U00079,SW011,Gi1/0/30,10
D000080,laptop,Windows,aa:ed:ff:7c:54:87,LAP-OKING0079,U00080,SW008,Gi1/0/15,50
D000081,laptop,Windows,8e:3d:d6:85:02:ad,LAP-LSANCHEZ0080,U00081,SW032,Gi1/0/38,60
D000082,laptop,Windows,aa:68:3f:df:1b:b6,LAP-CLEWIS0081,U00082,SW014,Gi1/0/4,40
D000083,laptop,Windows,56:52:2a:a7:d4:d0,LAP-CKING0082,U00083,SW006,Gi1/0/47,60
D000084,laptop,Windows,36:ee:cd:b6:3c:04,LAP-ANGUYEN0083,U00084,SW083,Gi1/0/9,10
D000085,laptop,Windows,c2:f2:22:31:04:87,LAP-HJOHNSON0084,U00085,SW015,Gi1/0/28,40
D000086,laptop,Windows,16:47:02:a8:91:30,LAP-JROBINSON008,U00086,SW086,Gi1/0/4,60
D000087,laptop,Windows,ae:9a:c6:f2:ee:a2,LAP-RMILLER0086,U00087,SW066,Gi1/0/5,40
D000088,laptop,Windows,96:12:d6:95:0b:1f,LAP-LSCOTT0087,U00088,SW063,Gi1/0/34,30
D000089,laptop,Windows,66:a9:2d:71:35:12,LAP-JJOHNSON0088,U00089,SW012,Gi1/0/38,20
D000090,laptop,Windows,a6:43:86:14:c6:54,LAP-PMARTINEZ008,U00090,SW004,Gi1/0/17,50
D000091,laptop,Windows,ca:86:9b:9a:df:28,LAP-EDAVIS0090,U00091,SW014,Gi1/0/3,60
D000092,laptop,Windows,7e:8f:7f:74:41:dd,LAP-EHARRIS0091,U00092,SW032,Gi1/0/2,30
D000093,laptop,Windows,ea:3c:79:73:d7:fb,LAP-ASMITH0092,U00093,SW097,Gi1/0/45,30
D000094,laptop,Windows,f6:ef:45:8c:b0:30,LAP-RSMITH0093,U00094,SW040,Gi1/0/37,30
D000095,laptop,Windows,8a:69:cb:31:a3:64,LAP-CLEE0094,U00095,SW023,Gi1/0/19,40
D000096,laptop,Windows,26:64:5e:5e:e9:1d,LAP-MHILL0095,U00096,SW028,Gi1/0/13,30
D000097,laptop,Windows,72:c8:65:07:78:ac,LAP-MPEREZ0096,U00097,SW034,Gi1/0/34,50
D000098,laptop,Windows,0a:5f:21:0c:92:89,LAP-AMOORE0097,U00098,SW061,Gi1/0/43,60
D000099,laptop,Windows,16:84:19:47:a7:32,LAP-CCLARK0098,U00099,SW083,Gi1/0/32,20
D000100,laptop,Windows,66:45:88:b8:e3:18,LAP-ATHOMPSON009,U00100,SW007,Gi1/0/40,20
D000101,laptop,Windows,72:8c:c3:1c:e4:51,LAP-CTHOMAS0100,U00101,SW080,Gi1/0/41,40
D000102,laptop,Windows,1e:e2:d4:fe:db:10,LAP-CWHITE0101,U00102,SW004,Gi1/0/15,40
D000103,laptop,Windows,02:2b:de:b3:a3:1f,LAP-LSMITH0102,U00103,SW032,Gi1/0/36,30
D000104,laptop,Windows,e6:b6:9b:3d:0a:34,LAP-HMARTINEZ010,U00104,SW062,Gi1/0/12,10
D000105,laptop,Windows,4a:b5:51:3f:d9:78,LAP-QCLARK0104,U00105,SW011,Gi1/0/11,10
D000106,laptop,Windows,1a:5e:2b:eb:a6:a8,LAP-AWILSON0105,U00106,SW027,Gi1/0/48,30
D000107,laptop,Windows,3a:b0:61:09:81:2a,LAP-AWILLIAMS010,U00107,SW066,Gi1/0/16,50
D000108,laptop,Windows,c6:d0:10:33:45:57,LAP-QJONES0107,U00108,SW072,Gi1/0/40,40
D000109,laptop,Windows,ea:10:ff:7f:05:af,LAP-EWRIGHT0108,U00109,SW009,Gi1/0/17,50
D000110,laptop,Windows,ee:e8:20:bd:0f:22,LAP-SWILSON0109,U00110,SW081,Gi1/0/45,10
D000111,laptop,Windows,fe:18:97:f2:50:02,LAP-RSMITH0110,U00111,SW040,Gi1/0/14,60
D000112,laptop,Windows,52:9d:a4:84:45:6d,LAP-CROBINSON011,U00112,SW063,Gi1/0/1,50
D000113,laptop,Windows,ba:de:54:12:0f:9e,LAP-MPEREZ0112,U00113,SW021,Gi1/0/23,40
D000114,laptop,Windows,4e:11:89:51:30:d1,LAP-IJACKSON0113,U00114,SW100,Gi1/0/29,50
D000115,laptop,Windows,f2:1e:e5:66:a9:4c,LAP-MSCOTT0114,U00115,SW079,Gi1/0/19,60
D000116,laptop,Windows,f6:c2:75:13:52:d5,LAP-RGONZALEZ011,U00116,SW066,Gi1/0/13,50
D000117,laptop,Windows,da:ef:ee:66:23:e6,LAP-DTHOMPSON011,U00117,SW018,Gi1/0/40,30
D000118,laptop,Windows,fe:50:40:6d:e3:44,LAP-AROBINSON011,U00118,SW080,Gi1/0/18,50
D000119,laptop,Windows,06:1a:fb:a2:55:5c,LAP-HHARRIS0118,U00119,SW038,Gi1/0/34,30
D000120,laptop,Windows,a6:b5:ff:9b:7a:59,LAP-ERODRIGUEZ01,U00120,SW066,Gi1/0/5,10
D000121,laptop,Windows,7a:a9:34:91:52:10,LAP-CRAMIREZ0120,U00121,SW069,Gi1/0/42,60
D000122,laptop,Windows,32:8a:8c:c2:24:25,LAP-JROBINSON012,U00122,SW083,Gi1/0/36,40
D000123,laptop,Windows,6a:ae:93:86:83:15,LAP-CJONES0122,U00123,SW086,Gi1/0/9,50
D000124,laptop,Windows,5a:c2:ec:1e:49:f6,LAP-TMILLER0123,U00124,SW039,Gi1/0/26,50
D000125,laptop,Windows,9a:65:7f:55:25:89,LAP-ACLARK0124,U00125,SW009,Gi1/0/36,30
D000126,laptop,Windows,1a:3d:74:30:d3:e4,LAP-CJONES0125,U00126,SW042,Gi1/0/39,50
D000127,laptop,Windows,4e:51:65:eb:ec:09,LAP-RSCOTT0126,U00127,SW040,Gi1/0/21,20
D000128,laptop,Windows,5a:d4:5d:da:dd:55,LAP-MJONES0127,U00128,SW034,Gi1/0/6,50
D000129,laptop,Windows,4e:b1:9b:46:a1:ec,LAP-JHILL0128,U00129,SW049,Gi1/0/3,50
D000130,laptop,Windows,f6:9f:1c:4f:58:41,LAP-RCLARK0129,U00130,SW061,Gi1/0/48,40
D000131,laptop,Windows,16:a7:f7:c4:35:16,LAP-NMOORE0130,U00131,SW064,Gi1/0/6,30
D000132,laptop,Windows,de:65:f7:b9:bd:53,LAP-IHERNANDEZ01,U00132,SW037,Gi1/0/17,50
D000133,laptop,Windows,de:9b:f2:cd:fe:d3,LAP-LWILSON0132,U00133,SW064,Gi1/0/42,10
D000134,laptop,Windows,e6:5a:70:8b:72:21,LAP-JROBINSON013,U00134,SW100,Gi1/0/46,60
D000135,laptop,Windows,42:ff:7e:cb:95:b8,LAP-JWALKER0134,U00135,SW069,Gi1/0/23,40
D000136,laptop,Windows,ea:50:1d:f7:bf:a7,LAP-DRODRIGUEZ01,U00136,SW063,Gi1/0/33,40
D000137,laptop,Windows,56:4c:bb:a8:f1:40,LAP-PPEREZ0136,U00137,SW028,Gi1/0/25,20
D000138,laptop,Windows,46:15:4c:d6:92:08,LAP-AFLORES0137,U00138,SW034,Gi1/0/6,10
D000139,laptop,Windows,7e:89:04:d2:f7:78,LAP-AHERNANDEZ01,U00139,SW007,Gi1/0/24,30
D000140,laptop,Windows,4e:0e:d7:2d:f4:54,LAP-QRAMIREZ0139,U00140,SW050,Gi1/0/38,50
D000141,laptop,Windows,22:a5:1d:c3:f9:b8,LAP-AMILLER0140,U00141,SW008,Gi1/0/31,10
D000142,laptop,Windows,7e:2d:59:43:b8:85,LAP-KKING0141,U00142,SW081,Gi1/0/27,40
D000143,laptop,Windows,0e:f3:99:1d:aa:06,LAP-KMILLER0142,U00143,SW097,Gi1/0/40,60
D000144,laptop,Windows,be:8e:ed:56:aa:b6,LAP-ELOPEZ0143,U00144,SW083,Gi1/0/10,50
D000145,laptop,Windows,92:8c:b5:3f:31:1a,LAP-RJACKSON0144,U00145,SW015,Gi1/0/28,20
D000146,laptop,Windows,26:48:78:f7:22:88,LAP-HANDERSON014,U00146,SW065,Gi1/0/9,20
D000147,laptop,Windows,fe:3b:92:ca:14:7e,LAP-AMILLER0146,U00147,SW042,Gi1/0/3,30
D000148,laptop,Windows,86:8b:f0:11:98:b3,LAP-JSANCHEZ0147,U00148,SW002,Gi1/0/46,10
D000149,laptop,Windows,32:ec:ec:69:5f:dd,LAP-CSMITH0148,U00149,SW075,Gi1/0/38,40
D000150,laptop,Windows,f6:20:52:71:e4:f6,LAP-DFLORES0149,U00150,SW090,Gi1/0/48,50
D000151,laptop,Windows,c6:85:db:cb:05:91,LAP-CWILLIAMS015,U00151,SW045,Gi1/0/23,40
D000152,laptop,Windows,9e:0c:95:6c:a5:46,LAP-AWILSON0151,U00152,SW093,Gi1/0/28,10
D000153,laptop,Windows,6e:b9:38:6a:5b:eb,LAP-ENGUYEN0152,U00153,SW007,Gi1/0/3,60
D000154,laptop,Windows,de:14:cd:3e:84:db,LAP-EMILLER0153,U00154,SW090,Gi1/0/9,30
D000155,laptop,Windows,0a:af:35:2c:93:18,LAP-CWILLIAMS015,U00155,SW072,Gi1/0/5,40
D000156,laptop,Windows,ce:34:df:80:15:51,LAP-PROBINSON015,U00156,SW070,Gi1/0/17,40
D000157,laptop,Windows,a6:fe:5b:ef:5b:a3,LAP-KWILLIAMS015,U00157,SW050,Gi1/0/20,40
D000158,laptop,Windows,d6:39:63:f7:ec:6c,LAP-HSCOTT0157,U00158,SW005,Gi1/0/11,10
D000159,laptop,Windows,ee:a2:ae:ae:d2:de,LAP-SJACKSON0158,U00159,SW045,Gi1/0/38,20
D000160,laptop,Windows,16:28:d6:17:ca:16,LAP-MWRIGHT0159,U00160,SW097,Gi1/0/30,40
D000161,laptop,Windows,e6:5f:d5:17:0e:9d,LAP-NMARTINEZ016,U00161,SW045,Gi1/0/21,30
D000162,laptop,Windows,06:2f:07:d5:ba:53,LAP-SGARCIA0161,U00162,SW008,Gi1/0/20,10
D000163,laptop,Windows,e6:75:d2:f0:25:07,LAP-JHILL0162,U00163,SW049,Gi1/0/28,60
D000164,laptop,Windows,72:eb:0d:f2:b7:91,LAP-LWALKER0163,U00164,SW014,Gi1/0/19,20
D000165,laptop,Windows,ee:91:68:f0:c2:b3,LAP-ETORRES0164,U00165,SW041,Gi1/0/38,20
D000166,laptop,Windows,66:07:dd:19:32:90,LAP-AGONZALEZ016,U00166,SW065,Gi1/0/39,60
D000167,laptop,Windows,d2:da:b4:71:75:b8,LAP-ITAYLOR0166,U00167,SW008,Gi1/0/9,20
D000168,laptop,Windows,42:1e:e7:47:99:8d,LAP-TWHITE0167,U00168,SW045,Gi1/0/47,40
D000169,laptop,Windows,7a:3e:e3:74:fd:60,LAP-IMOORE0168,U00169,SW050,Gi1/0/22,40
D000170,laptop,Windows,72:c3:97:4c:f2:6a,LAP-EMARTINEZ016,U00170,SW079,Gi1/0/10,60
D000171,laptop,Windows,3a:ee:db:6d:33:45,LAP-CTHOMAS0170,U00171,SW008,Gi1/0/41,60
D000172,laptop,Windows,26:3b:09:66:f4:78,LAP-EHARRIS0171,U00172,SW065,Gi1/0/20,30
D000173,laptop,Windows,e2:da:76:13:38:fc,LAP-CJOHNSON0172,U00173,SW064,Gi1/0/8,10
D000174,laptop,Windows,fe:90:30:d2:ae:61,LAP-MWILSON0173,U00174,SW002,Gi1/0/26,50
D000175,laptop,Windows,b2:1c:10:46:8d:e5,LAP-HLOPEZ0174,U00175,SW012,Gi1/0/20,40
D000176,laptop,Windows,32:5f:00:7e:53:e4,LAP-TWILLIAMS017,U00176,SW066,Gi1/0/12,10
D000177,laptop,Windows,76:03:38:b4:64:15,LAP-RJONES0176,U00177,SW088,Gi1/0/35,10
D000178,laptop,Windows,36:da:5d:06:ec:64,LAP-AMARTIN0177,U00178,SW088,Gi1/0/20,20
D000179,laptop,Windows,7a:46:c4:64:de:bb,LAP-PJONES0178,U00179,SW080,Gi1/0/26,60
D000180,laptop,Windows,5e:03:fe:43:a2:ae,LAP-CWILSON0179,U00180,SW088,Gi1/0/3,20
D000181,laptop,Windows,da:f1:1f:05:dc:07,LAP-KTHOMPSON018,U00181,SW063,Gi1/0/18,60
D000182,laptop,Windows,ee:f8:84:03:01:b0,LAP-KWRIGHT0181,U00182,SW015,Gi1/0/2,10
D000183,laptop,Windows,8e:68:2f:77:91:41,LAP-EBROWN0182,U00183,SW055,Gi1/0/14,40
D000184,laptop,Windows,2a:a9:26:bc:61:fe,LAP-PMOORE0183,U00184,SW035,Gi1/0/38,60
D000185,laptop,Windows,96:da:0c:29:9c:b5,LAP-EJONES0184,U00185,SW025,Gi1/0/45,40
D000186,laptop,Windows,f6:be:e3:ec:c0:dd,LAP-LMOORE0185,U00186,SW012,Gi1/0/17,40
D000187,laptop,Windows,7e:b8:1f:96:cd:a4,LAP-PMARTIN0186,U00187,SW004,Gi1/0/34,30
D000188,laptop,Windows,a2:a9:51:60:8a:81,LAP-EYOUNG0187,U00188,SW079,Gi1/0/34,40
D000189,laptop,Windows,56:26:70:27:bd:1f,LAP-HMOORE0188,U00189,SW017,Gi1/0/38,20
D000190,laptop,Windows,22:fb:fd:ff:a0:49,LAP-KNGUYEN0189,U00190,SW065,Gi1/0/4,40
D000191,laptop,Windows,22:35:b7:62:ae:f7,LAP-AGARCIA0190,U00191,SW031,Gi1/0/15,10
D000192,laptop,Windows,42:f9:8c:28:80:0e,LAP-NWILLIAMS019,U00192,SW048,Gi1/0/33,20
D000193,laptop,Windows,c2:11:62:68:a5:84,LAP-MSMITH0192,U00193,SW039,Gi1/0/15,50
D000194,laptop,Windows,4e:8e:2d:19:9d:3c,LAP-RANDERSON019,U00194,SW030,Gi1/0/32,60
D000195,laptop,Windows,c6:64:8a:ab:42:68,LAP-LDAVIS0194,U00195,SW048,Gi1/0/44,30
D000196,laptop,Windows,2e:86:50:a4:18:43,LAP-ABROWN0195,U00196,SW081,Gi1/0/40,50
D000197,laptop,Windows,d2:09:9f:34:e6:4b,LAP-MMARTINEZ019,U00197,SW050,Gi1/0/24,30
D000198,laptop,Windows,62:49:68:f5:ad:ca,LAP-IHILL0197,U00198,SW082,Gi1/0/10,10
D000199,laptop,Windows,4a:e9:5a:85:fe:64,LAP-CALLEN0198,U00199,SW093,Gi1/0/16,60
D000200,laptop,Windows,56:cb:7a:28:e7:b7,LAP-MSMITH0199,U00200,SW049,Gi1/0/27,30
D000201,laptop,Windows,16:0f:04:cd:73:fb,LAP-STORRES0200,U00201,SW083,Gi1/0/36,10
D000202,laptop,Windows,e6:da:9d:5d:05:9e,LAP-ARODRIGUEZ02,U00202,SW012,Gi1/0/44,10
D000203,laptop,Windows,06:f0:3b:5c:15:ed,LAP-ETAYLOR0202,U00203,SW059,Gi1/0/41,20
D000204,laptop,Windows,ae:b1:24:de:c8:f1,LAP-RWILSON0203,U00204,SW046,Gi1/0/11,50
D000205,laptop,Windows,1a:7d:47:52:54:bb,LAP-NTAYLOR0204,U00205,SW002,Gi1/0/6,20
D000206,laptop,Windows,d6:7c:d5:cc:fe:e0,LAP-JWALKER0205,U00206,SW092,Gi1/0/6,40
D000207,laptop,Windows,c6:58:e9:98:2c:c8,LAP-HLEWIS0206,U00207,SW078,Gi1/0/11,10
D000208,laptop,Windows,e6:24:8b:c2:bc:59,LAP-IWHITE0207,U00208,SW061,Gi1/0/17,60
D000209,laptop,Windows,a2:11:26:41:12:01,LAP-ESANCHEZ0208,U00209,SW073,Gi1/0/2,60
D000210,laptop,Windows,3a:7a:8f:bb:20:fe,LAP-EROBINSON020,U00210,SW079,Gi1/0/47,60
D000211,laptop,Windows,9a:31:df:d6:1d:8f,LAP-HDAVIS0210,U00211,SW081,Gi1/0/17,40
D000212,laptop,Windows,de:f5:78:17:d3:bd,LAP-LTHOMAS0211,U00212,SW030,Gi1/0/8,10
D000213,laptop,Windows,1a:6d:f3:81:5f:b2,LAP-AJONES0212,U00213,SW041,Gi1/0/26,10
D000214,laptop,Windows,ee:a8:45:86:c5:7f,LAP-ALEWIS0213,U00214,SW035,Gi1/0/6,10
D000215,laptop,Windows,42:74:7f:0a:ba:f0,LAP-AMOORE0214,U00215,SW093,Gi1/0/41,30
D000216,laptop,Windows,e6:1d:55:11:09:8e,LAP-ESANCHEZ0215,U00216,SW012,Gi1/0/48,60
D000217,laptop,Windows,8a:d2:de:a8:77:63,LAP-MTHOMPSON021,U00217,SW093,Gi1/0/44,50
D000218,laptop,Windows,ee:40:3e:be:f1:07,LAP-PHERNANDEZ02,U00218,SW035,Gi1/0/19,40
D000219,laptop,Windows,22:03:de:11:72:02,LAP-AGARCIA0218,U00219,SW081,Gi1/0/31,50
D000220,laptop,Windows,7a:50:58:bf:72:dc,LAP-CHILL0219,U00220,SW017,Gi1/0/8,30
D000221,laptop,Windows,a6:a4:1b:6b:b1:2e,LAP-ALOPEZ0220,U00221,SW087,Gi1/0/3,40
D000222,laptop,Windows,32:f9:bb:37:dc:e4,LAP-HJONES0221,U00222,SW056,Gi1/0/27,40
D000223,laptop,Windows,6e:2a:ba:db:83:83,LAP-CGONZALEZ022,U00223,SW099,Gi1/0/36,40
D000224,laptop,Windows,ee:f7:f5:06:fb:3d,LAP-QTORRES0223,U00224,SW039,Gi1/0/1,30
D000225,laptop,Windows,9e:ef:57:f9:ca:63,LAP-LHERNANDEZ02,U00225,SW100,Gi1/0/48,50
D000226,laptop,Windows,82:ec:00:95:80:cc,LAP-MFLORES0225,U00226,SW086,Gi1/0/21,40
D000227,laptop,Windows,c2:4a:4c:31:92:40,LAP-OJACKSON0226,U00227,SW002,Gi1/0/30,20
D000228,laptop,Windows,3e:4a:7a:12:ff:a6,LAP-HWRIGHT0227,U00228,SW038,Gi1/0/2,60
D000229,laptop,Windows,1a:1b:9c:0b:1f:25,LAP-LCLARK0228,U00229,SW040,Gi1/0/43,30
D000230,laptop,Windows,56:d2:80:47:f5:6c,LAP-MJOHNSON0229,U00230,SW020,Gi1/0/28,40
D000231,laptop,Windows,f2:af:8b:05:6c:29,LAP-OLEE0230,U00231,SW091,Gi1/0/24,40
D000232,laptop,Windows,22:4c:46:94:24:65,LAP-PTAYLOR0231,U00232,SW009,Gi1/0/30,20
D000233,laptop,Windows,0a:89:ba:a7:d0:22,LAP-SRODRIGUEZ02,U00233,SW025,Gi1/0/40,10
D000234,laptop,Windows,2e:9a:34:ae:fd:5e,LAP-CPEREZ0233,U00234,SW025,Gi1/0/1,20
