device_id,mac,ip,vlan,switch_id,interface,lease_start,lease_end,assignment_type
D000013,be:61:87:ef:d2:86,10.5.60.186,60,SW065,Gi1/0/7,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000014,62:3a:7b:5a:06:62,10.5.60.217,60,SW091,Gi1/0/46,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000015,66:d9:ad:ac:cc:cb,10.7.40.41,40,SW008,Gi1/0/37,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000016,2e:09:1a:38:e6:a2,10.1.40.242,40,SW069,Gi1/0/33,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000017,fa:3d:f8:19:92:22,10.10.20.205,20,SW081,Gi1/0/48,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000018,06:e7:4d:a6:d5:b0,10.8.10.143,10,SW015,Gi1/0/9,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000019,22:9a:f0:55:06:19,10.8.40.86,40,SW025,Gi1/0/43,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000020,3a:b3:a2:2b:65:50,10.8.20.59,20,SW050,Gi1/0/16,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000021,76:97:73:1d:5a:45,10.4.10.65,10,SW063,Gi1/0/40,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000022,76:02:5c:8a:1e:38,10.8.60.132,60,SW050,Gi1/0/4,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000023,56:01:30:b5:16:fa,10.2.20.46,20,SW018,Gi1/0/27,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000024,5a:90:8c:29:e4:45,10.5.10.123,10,SW091,Gi1/0/6,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000025,2e:a0:c0:af:cb:0b,10.2.40.131,40,SW041,Gi1/0/46,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000026,6a:63:d1:67:23:28,10.5.40.169,40,SW055,Gi1/0/24,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000027,6e:54:d6:ad:20:79,10.5.20.11,20,SW055,Gi1/0/42,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000028,d6:74:6d:4e:17:aa,10.6.20.88,20,SW057,Gi1/0/36,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000029,ee:89:e1:8f:3c:95,10.5.10.42,10,SW030,Gi1/0/24,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000030,ee:19:ed:5e:b9:0c,10.3.30.221,30,SW032,Gi1/0/10,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000031,1a:4c:c7:19:fb:1a,10.8.30.211,30,SW014,Gi1/0/23,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000032,4a:39:2c:c6:5e:39,10.5.30.244,30,SW076,Gi1/0/16,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000033,46:c0:3c:eb:20:01,10.3.60.227,60,SW032,Gi1/0/13,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000034,7e:c8:97:78:46:e1,10.1.60.228,60,SW007,Gi1/0/17,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000035,ba:12:67:79:e6:40,10.9.60.88,60,SW006,Gi1/0/12,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000036,8e:52:15:1d:26:67,10.7.40.247,40,SW098,Gi1/0/41,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000037,f6:be:33:de:25:08,10.8.60.10,60,SW042,Gi1/0/44,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000038,02:5b:84:ed:ee:a1,10.4.20.43,20,SW063,Gi1/0/9,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000039,52:11:06:25:3c:97,10.5.50.81,50,SW055,Gi1/0/11,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000040,4a:fb:68:8d:45:a4,10.1.40.70,40,SW087,Gi1/0/2,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000041,fa:1f:5a:f7:74:f1,10.9.40.200,40,SW092,Gi1/0/21,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000042,6a:4b:b9:a2:ef:9d,10.10.10.193,10,SW081,Gi1/0/30,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000043,62:e1:25:46:31:53,10.7.10.49,10,SW099,Gi1/0/13,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000044,c6:77:0e:76:a8:52,10.6.60.121,60,SW021,Gi1/0/26,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000045,c2:83:6c:24:55:29,10.8.20.32,20,SW043,Gi1/0/17,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000046,32:71:3f:10:c5:87,10.5.30.240,30,SW030,Gi1/0/1,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000047,72:31:38:28:eb:e6,10.8.50.179,50,SW086,Gi1/0/12,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000048,f6:65:a7:1f:f8:17,10.9.60.45,60,SW028,Gi1/0/37,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000049,42:7e:46:a5:e5:d6,10.5.30.194,30,SW082,Gi1/0/43,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000050,1a:50:c3:df:e8:16,10.2.50.83,50,SW023,Gi1/0/21,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000051,96:b9:63:83:9b:2b,10.5.40.65,40,SW073,Gi1/0/28,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000052,be:d5:96:53:c6:fd,10.5.20.165,20,SW004,Gi1/0/27,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000053,ba:d0:94:f7:56:7b,10.5.40.63,40,SW082,Gi1/0/15,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000054,72:2c:95:cb:98:35,10.8.60.108,60,SW086,Gi1/0/33,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000055,4a:55:9b:e4:ec:1b,10.8.60.221,60,SW059,Gi1/0/20,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000056,fe:a1:54:96:0e:8b,10.1.60.96,60,SW056,Gi1/0/3,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000057,4a:d6:4b:cd:6f:3a,10.1.10.46,10,SW045,Gi1/0/19,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000058,8e:10:57:c4:ed:8d,10.8.50.142,50,SW062,Gi1/0/9,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000059,ba:aa:8b:92:f3:ca,10.8.30.44,30,SW059,Gi1/0/23,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000060,7a:ef:46:c5:a6:77,10.7.30.203,30,SW049,Gi1/0/23,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000061,32:b0:09:83:e1:ed,10.4.30.187,30,SW053,Gi1/0/23,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000062,fa:cc:07:98:42:45,10.10.50.113,50,SW012,Gi1/0/9,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000063,ca:30:e7:11:4e:ca,10.10.40.139,40,SW046,Gi1/0/46,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000064,ba:78:fa:0f:4d:9c,10.8.10.18,10,SW042,Gi1/0/6,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000065,8a:cd:e4:7c:c9:12,10.9.30.163,30,SW092,Gi1/0/15,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000066,d6:b4:10:3c:f3:40,10.5.60.197,60,SW030,Gi1/0/16,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000067,76:8a:a6:03:f6:bc,10.7.10.226,10,SW098,Gi1/0/22,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000068,76:c9:bc:9c:cb:d9,10.9.20.183,20,SW092,Gi1/0/21,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000069,66:a4:24:9e:9b:4b,10.10.10.79,10,SW081,Gi1/0/48,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000070,5e:50:9d:77:d0:5e,10.2.50.131,50,SW074,Gi1/0/41,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000071,46:5d:d1:7a:9d:a9,10.3.50.87,50,SW032,Gi1/0/3,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000072,f2:6b:6b:ed:48:39,10.6.50.154,50,SW017,Gi1/0/29,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000073,f6:cd:27:5f:fa:41,10.5.10.218,10,SW082,Gi1/0/25,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000074,4e:4c:83:7a:a9:72,10.2.60.98,60,SW074,Gi1/0/45,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000075,2a:81:22:60:82:34,10.8.60.201,60,SW086,Gi1/0/17,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000076,32:87:5b:f8:89:ce,10.1.50.35,50,SW056,Gi1/0/22,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000077,4a:a1:b7:54:d2:bc,10.9.60.181,60,SW092,Gi1/0/45,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000078,ce:0e:ed:b8:72:d1,10.3.50.201,50,SW009,Gi1/0/23,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000079,56:4f:ae:2f:d6:77,10.6.10.197,10,SW011,Gi1/0/30,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000080,aa:ed:ff:7c:54:87,10.7.50.104,50,SW008,Gi1/0/15,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000081,8e:3d:d6:85:02:ad,10.3.60.187,60,SW032,Gi1/0/38,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000082,aa:68:3f:df:1b:b6,10.8.40.246,40,SW014,Gi1/0/4,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000083,56:52:2a:a7:d4:d0,10.9.60.25,60,SW006,Gi1/0/47,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000084,36:ee:cd:b6:3c:04,10.2.10.244,10,SW083,Gi1/0/9,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000085,c2:f2:22:31:04:87,10.8.40.96,40,SW015,Gi1/0/28,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000086,16:47:02:a8:91:30,10.8.60.86,60,SW086,Gi1/0/4,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000087,ae:9a:c6:f2:ee:a2,10.4.40.35,40,SW066,Gi1/0/5,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000088,96:12:d6:95:0b:1f,10.4.30.56,30,SW063,Gi1/0/34,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000089,66:a9:2d:71:35:12,10.10.20.133,20,SW012,Gi1/0/38,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000090,a6:43:86:14:c6:54,10.5.50.192,50,SW004,Gi1/0/17,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000091,ca:86:9b:9a:df:28,10.8.60.183,60,SW014,Gi1/0/3,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000092,7e:8f:7f:74:41:dd,10.3.30.193,30,SW032,Gi1/0/2,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000093,ea:3c:79:73:d7:fb,10.3.30.184,30,SW097,Gi1/0/45,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000094,f6:ef:45:8c:b0:30,10.7.30.17,30,SW040,Gi1/0/37,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000095,8a:69:cb:31:a3:64,10.2.40.118,40,SW023,Gi1/0/19,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000096,26:64:5e:5e:e9:1d,10.9.30.138,30,SW028,Gi1/0/13,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000097,72:c8:65:07:78:ac,10.6.50.21,50,SW034,Gi1/0/34,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000098,0a:5f:21:0c:92:89,10.10.60.78,60,SW061,Gi1/0/43,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000099,16:84:19:47:a7:32,10.2.20.78,20,SW083,Gi1/0/32,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000100,66:45:88:b8:e3:18,10.1.20.21,20,SW007,Gi1/0/40,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000101,72:8c:c3:1c:e4:51,10.7.40.117,40,SW080,Gi1/0/41,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000102,1e:e2:d4:fe:db:10,10.5.40.113,40,SW004,Gi1/0/15,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000103,02:2b:de:b3:a3:1f,10.3.30.140,30,SW032,Gi1/0/36,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000104,e6:b6:9b:3d:0a:34,10.8.10.41,10,SW062,Gi1/0/12,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000105,4a:b5:51:3f:d9:78,10.6.10.243,10,SW011,Gi1/0/11,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000106,1a:5e:2b:eb:a6:a8,10.5.30.77,30,SW027,Gi1/0/48,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000107,3a:b0:61:09:81:2a,10.4.50.158,50,SW066,Gi1/0/16,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000108,c6:d0:10:33:45:57,10.2.40.145,40,SW072,Gi1/0/40,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000109,ea:10:ff:7f:05:af,10.3.50.11,50,SW009,Gi1/0/17,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000110,ee:e8:20:bd:0f:22,10.10.10.69,10,SW081,Gi1/0/45,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000111,fe:18:97:f2:50:02,10.7.60.177,60,SW040,Gi1/0/14,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000112,52:9d:a4:84:45:6d,10.4.50.97,50,SW063,Gi1/0/1,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000113,ba:de:54:12:0f:9e,10.6.40.89,40,SW021,Gi1/0/23,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000114,4e:11:89:51:30:d1,10.2.50.180,50,SW100,Gi1/0/29,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000115,f2:1e:e5:66:a9:4c,10.6.60.201,60,SW079,Gi1/0/19,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000116,f6:c2:75:13:52:d5,10.4.50.203,50,SW066,Gi1/0/13,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000117,da:ef:ee:66:23:e6,10.2.30.115,30,SW018,Gi1/0/40,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000118,fe:50:40:6d:e3:44,10.7.50.120,50,SW080,Gi1/0/18,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000119,06:1a:fb:a2:55:5c,10.9.30.172,30,SW038,Gi1/0/34,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000120,a6:b5:ff:9b:7a:59,10.4.10.151,10,SW066,Gi1/0/5,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000121,7a:a9:34:91:52:10,10.1.60.99,60,SW069,Gi1/0/42,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000122,32:8a:8c:c2:24:25,10.2.40.89,40,SW083,Gi1/0/36,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000123,6a:ae:93:86:83:15,10.8.50.242,50,SW086,Gi1/0/9,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000124,5a:c2:ec:1e:49:f6,10.3.50.222,50,SW039,Gi1/0/26,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000125,9a:65:7f:55:25:89,10.3.30.82,30,SW009,Gi1/0/36,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000126,1a:3d:74:30:d3:e4,10.8.50.29,50,SW042,Gi1/0/39,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000127,4e:51:65:eb:ec:09,10.7.20.238,20,SW040,Gi1/0/21,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000128,5a:d4:5d:da:dd:55,10.6.50.33,50,SW034,Gi1/0/6,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000129,4e:b1:9b:46:a1:ec,10.7.50.66,50,SW049,Gi1/0/3,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000130,f6:9f:1c:4f:58:41,10.10.40.19,40,SW061,Gi1/0/48,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000131,16:a7:f7:c4:35:16,10.10.30.195,30,SW064,Gi1/0/6,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000132,de:65:f7:b9:bd:53,10.9.50.34,50,SW037,Gi1/0/17,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000133,de:9b:f2:cd:fe:d3,10.10.10.86,10,SW064,Gi1/0/42,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000134,e6:5a:70:8b:72:21,10.2.60.160,60,SW100,Gi1/0/46,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000135,42:ff:7e:cb:95:b8,10.1.40.22,40,SW069,Gi1/0/23,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000136,ea:50:1d:f7:bf:a7,10.4.40.249,40,SW063,Gi1/0/33,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000137,56:4c:bb:a8:f1:40,10.9.20.197,20,SW028,Gi1/0/25,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000138,46:15:4c:d6:92:08,10.6.10.154,10,SW034,Gi1/0/6,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000139,7e:89:04:d2:f7:78,10.1.30.144,30,SW007,Gi1/0/24,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000140,4e:0e:d7:2d:f4:54,10.8.50.71,50,SW050,Gi1/0/38,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000141,22:a5:1d:c3:f9:b8,10.7.10.151,10,SW008,Gi1/0/31,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000142,7e:2d:59:43:b8:85,10.10.40.206,40,SW081,Gi1/0/27,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000143,0e:f3:99:1d:aa:06,10.3.60.130,60,SW097,Gi1/0/40,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000144,be:8e:ed:56:aa:b6,10.2.50.95,50,SW083,Gi1/0/10,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000145,92:8c:b5:3f:31:1a,10.8.20.80,20,SW015,Gi1/0/28,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000146,26:48:78:f7:22:88,10.5.20.152,20,SW065,Gi1/0/9,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000147,fe:3b:92:ca:14:7e,10.8.30.224,30,SW042,Gi1/0/3,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000148,86:8b:f0:11:98:b3,10.8.10.115,10,SW002,Gi1/0/46,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000149,32:ec:ec:69:5f:dd,10.7.40.169,40,SW075,Gi1/0/38,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000150,f6:20:52:71:e4:f6,10.9.50.132,50,SW090,Gi1/0/48,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000151,c6:85:db:cb:05:91,10.1.40.127,40,SW045,Gi1/0/23,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000152,9e:0c:95:6c:a5:46,10.9.10.35,10,SW093,Gi1/0/28,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000153,6e:b9:38:6a:5b:eb,10.1.60.91,60,SW007,Gi1/0/3,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000154,de:14:cd:3e:84:db,10.9.30.233,30,SW090,Gi1/0/9,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000155,0a:af:35:2c:93:18,10.2.40.221,40,SW072,Gi1/0/5,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000156,ce:34:df:80:15:51,10.5.40.83,40,SW070,Gi1/0/17,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000157,a6:fe:5b:ef:5b:a3,10.8.40.151,40,SW050,Gi1/0/20,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000158,d6:39:63:f7:ec:6c,10.5.10.154,10,SW005,Gi1/0/11,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000159,ee:a2:ae:ae:d2:de,10.1.20.221,20,SW045,Gi1/0/38,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000160,16:28:d6:17:ca:16,10.3.40.11,40,SW097,Gi1/0/30,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000161,e6:5f:d5:17:0e:9d,10.1.30.83,30,SW045,Gi1/0/21,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000162,06:2f:07:d5:ba:53,10.7.10.120,10,SW008,Gi1/0/20,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000163,e6:75:d2:f0:25:07,10.7.60.134,60,SW049,Gi1/0/28,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000164,72:eb:0d:f2:b7:91,10.8.20.194,20,SW014,Gi1/0/19,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000165,ee:91:68:f0:c2:b3,10.2.20.91,20,SW041,Gi1/0/38,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000166,66:07:dd:19:32:90,10.5.60.156,60,SW065,Gi1/0/39,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000167,d2:da:b4:71:75:b8,10.7.20.213,20,SW008,Gi1/0/9,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000168,42:1e:e7:47:99:8d,10.1.40.86,40,SW045,Gi1/0/47,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000169,7a:3e:e3:74:fd:60,10.8.40.130,40,SW050,Gi1/0/22,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000170,72:c3:97:4c:f2:6a,10.6.60.166,60,SW079,Gi1/0/10,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
